"","WBID","WATERBODY_NAME","NewUse","Use","CharacteristicName","ResultSampleFractionText","Assessed","binomial","No","Yes","sampcount","existimpair","paramcarryforward","newassess","actualsampneed","provassess","provdate","provcomment","provdatetext"
"1","14070006-001","COLORADO RIVER ","AWCChronic","AWC","MERCURY","Dissolved","Not meeting criteria","No",17,6,23,"New Impairment","Current",3,0,2,NA,"Not impaired.  EPA Region 8 reported DL in the result field.  Results not valid.  Method also seems to indicate these are sediment rather than water samples.","44228"
"2","14070006-001","COLORADO RIVER ","AWCChronic","AWC","SELENIUM","Total","Not meeting criteria","No",97,15,112,"New Impairment","Current",3,1,3,NA,"Impairment confirmed. Stable conditions present during all sample periods.  Chronic criteria apply.  Although 4 total numbers just below standard, dissolved samples routinely above (different dates).","43889"
"3","14070007-123","PARIA RIVER ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",1,2,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"4","14070007-123","PARIA RIVER ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",8,4,12,"Existing Impairment","Current",3,0,3,NA,"Inquire with USGS about missing detection limits.","43896"
"5","15010003-001","KANAB CREEK ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",0,7,7,"Existing Impairment","Current",3,0,3,NA,NA,NA
"6","15010004-0710","KAIBAB LAKE ","AWCChronic","AWC","IRON","Dissolved","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,3,NA,"Impaired. Exceedances on 10/25/18 and 9/19/19.  Comments indicate normal stable conditions for both samples.  NOAA shows no significant rain for 4 days before sampling.","43749"
"7","15010010-003","VIRGIN RIVER ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",29,3,32,"Existing Impairment","Current",3,0,3,NA,"Remains impaired.","44243"
"8","15010010-003","VIRGIN RIVER ","AWWAcute","AWW","SUSPENDED SEDIMENT CONCENTRATION (SSC)","Suspended","Not meeting criteria","No",0,2,2,"Existing Impairment","Current",3,0,3,NA,NA,NA
"9","15010010-004","VIRGIN RIVER ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",4,2,6,"Existing Impairment","Current",3,0,3,NA,NA,NA
"10","15020002-016","LITTLE COLORADO RIVER ","AWCAcute","AWC","SUSPENDED SEDIMENT CONCENTRATION (SSC)","Suspended","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,1,NA,"Not impaired.  Most samples from USGS storm influenced.","43955"
"11","15020005-1380","SHOW LOW LAKE ","AWCChronic","AWC","IRON","Dissolved","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,1,NA,"Not impaired.  Stable conditions not present due to significant rain week of 7/11/15.","44176"
"12","15020008-0130","BEAR CANYON LAKE ","AWCChronic","AWC","COPPER","Dissolved","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,1,NA,"Not impaired.  Hardness nondetect with MRL of 33 ug/L.  Both samples below calculated standard of 0.003472739.","44179"
"13","15020008-0130","BEAR CANYON LAKE ","AWCChronic","AWC","IRON","Dissolved","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,1,NA,"Not impaired.  Natural conditions","44179"
"14","15020010-1670","WILLOW SPRINGS LAKE ","AWCChronic","AWC","COPPER","Dissolved","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,1,NA,"Not impaired.  Hardness nondetect with MRL of 33 ug/L.  Both samples below calculated standard of 0.003472739.","44179"
"15","15020010-1700","WOODS CANYON LAKE ","AWCChronic","AWC","CADMIUM","Dissolved","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,1,NA,"Not impaired.  Hardness nondetect with MRL of 33 ug/L.  Both samples below calculated standard of 0.003472739.","44179"
"16","15020010-1700","WOODS CANYON LAKE ","AWCChronic","AWC","COPPER","Dissolved","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,1,NA,"Not impaired. Significant rain in watershed for the 9/21/14 exceedance indicate conditions not stable.","44176"
"17","15020010-1700","WOODS CANYON LAKE ","AWCChronic","AWC","IRON","Dissolved","Not meeting criteria","No",1,3,4,"New Impairment","Current",3,0,1,NA,"Not impaired significant in watershed the on 9/21/14 indicate conditions not stable.","44176"
